,ID,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,Entry
6721,6722,68.76404,42.0,1.0,161.00982,-3.76387,73.38395,19.77922,6721
6378,6379,319.53488,44.0,1.0,87.60928,-3.76294,344.47356,55.39407,6378
16567,16568,92.80453,11.0,1.0,198.54313,-3.75697,92.82478,-12.41201,16567
18346,18347,95.53073,6.0,1.0,204.23551,-3.74085,95.76877,-17.32885,18346
5689,5690,63.36,46.0,1.0,155.42269,-3.7404,70.00654,24.39438,5689
3214,3215,356.21053,58.0,1.0,114.18045,-3.73572,29.99677,52.37714,3214
7539,7540,72.25806,39.0,1.0,165.02492,-3.73452,75.71069,16.43775,7539
29553,29554,112.56966,-26.0,1.0,240.33467,-3.72529,120.44533,-47.08115,29553
12976,12977,299.45946,22.0,1.0,60.00582,-3.72285,307.61404,41.67037,12976
17826,17827,291.23596,8.0,1.0,43.88723,-3.72273,294.37219,29.66037,17826
4675,4676,331.32743,51.0,1.0,98.21436,-3.72153,3.32562,56.42602,4675
4278,4279,52.1267,52.0,1.0,145.91745,-3.72052,63.54325,31.98515,4278
3638,3639,43.68932,55.0,1.0,140.06379,-3.71665,58.97171,36.44076,3638
11987,11988,301.47239,25.0,1.0,63.5355,-3.71186,311.16213,44.04675,11987
6905,6906,316.85393,42.0,1.0,84.80337,-3.70841,339.73788,54.69722,6905
3605,3606,345.67164,56.0,1.0,108.09694,-3.70738,20.52339,54.65878,3605
13987,13988,297.52941,19.0,1.0,56.49603,-3.70713,304.32991,39.21584,13987
5377,5378,325.5,48.0,1.0,93.37731,-3.70044,354.59794,56.36926,5377
2851,2852,19.45946,59.0,1.0,126.33273,-3.69732,45.74803,45.90824,2851
18897,18898,289.60894,5.0,1.0,40.47245,-3.69579,292.02156,26.95266,18897
28236,28237,110.27027,-22.0,1.0,235.80762,-3.69129,116.34141,-43.6026,28236
20690,20691,287.0,0.0,1.0,34.82254,-3.68435,288.42332,22.35853,20690
2844,2845,5.83784,59.0,1.0,119.31473,-3.67435,37.21236,49.96414,2844
11466,11467,83.59133,26.0,1.0,181.16478,-3.67368,84.24144,2.68893,11466
12314,12315,300.73171,24.0,1.0,62.32771,-3.67255,309.87618,43.27928,12314
21581,21582,100.27855,-3.0,1.0,214.42905,-3.66289,101.44448,-26.03204,21581
29697,29698,273.06502,-26.0,1.0,5.49298,-3.6587,272.75163,-2.59002,29697
10511,10512,81.40127,29.0,1.0,177.58373,-3.65171,82.4529,5.78606,10511
14328,14329,296.84211,18.0,1.0,55.30142,-3.64727,303.21732,38.39533,14328
20862,20863,99.27577,-1.0,1.0,212.18754,-3.64532,100.17628,-24.11242,20862
23196,23197,283.36134,-7.0,1.0,26.92158,-3.6297,283.7848,15.80201,23196
8393,8394,75.46392,36.0,1.0,168.96404,-3.62815,77.96889,13.16663,8393
3042,3043,30.31579,58.0,1.0,132.0972,-3.62383,51.87325,42.19897,3042
20142,20143,98.27298,1.0,1.0,209.94585,-3.6234,98.94436,-22.18302,20142
8981,8982,77.31544,34.0,1.0,171.47898,-3.62204,79.31702,11.03057,8981
28569,28570,110.93656,-23.0,1.0,236.98182,-3.61546,117.45219,-44.46351,28569
11662,11663,302.04334,26.0,1.0,64.65813,-3.60989,312.26308,44.85174,11662
4060,4061,50.0,53.0,1.0,144.28275,-3.60049,62.42765,33.32451,4060
19423,19424,97.27019,3.0,1.0,207.70457,-3.59473,97.74719,-20.24423,19423
9583,9584,79.08197,32.0,1.0,173.97261,-3.59315,80.64836,8.91498,9583
14671,14672,296.16279,17.0,1.0,54.10916,-3.58484,302.13079,37.56683,14671
23730,23731,103.43662,-9.0,1.0,221.21377,-3.58201,105.65844,-31.71183,23730
16921,16922,93.55932,10.0,1.0,199.77849,-3.58114,93.60924,-13.39493,16921
2852,2853,21.40541,59.0,1.0,127.32999,-3.57953,46.96085,45.37387,2852
16763,16764,292.69122,11.0,1.0,47.21579,-3.56451,296.62944,32.36575,16763
5941,5942,65.19685,45.0,1.0,157.04608,-3.55978,71.18201,23.16939,5941
30512,30513,114.64968,-29.0,1.0,243.85941,-3.55552,124.22178,-49.55109,30512
4904,4905,328.83117,50.0,1.0,96.34162,-3.55547,359.94443,56.63781,4904
2843,2844,3.89189,59.0,1.0,118.31828,-3.55005,35.98206,50.58568,2843
12779,12780,86.48649,22.0,1.0,185.96736,-3.54288,86.74727,-1.39958,12779
22124,22125,284.79109,-4.0,1.0,30.24723,-3.5393,285.58533,18.64246,22124
8293,8294,311.08014,37.0,1.0,78.0986,-3.53658,329.18573,52.34042,8293
21407,21408,285.79387,-2.0,1.0,32.4881,-3.52285,286.87797,20.51856,21407
26191,26192,107.16763,-16.0,1.0,229.11856,-3.5213,111.16787,-38.18588,26191
15016,15017,295.49133,16.0,1.0,52.91931,-3.52029,301.06965,36.73064,15016
9472,9473,307.37542,33.0,1.0,73.06921,-3.51858,322.19824,49.89244,9472
24260,24261,281.69492,-10.0,1.0,23.49391,-3.5183,281.81416,12.96074,24260
7448,7449,314.18182,40.0,1.0,81.96434,-3.51553,335.04878,53.93075,7448
26010,26011,279.07781,-15.0,1.0,17.86872,-3.5155,278.85056,8.16062,26010
6990,6991,70.4059,41.0,1.0,162.57799,-3.51348,74.51629,18.60935,6990
11340,11341,302.625,27.0,1.0,65.78286,-3.50599,313.39713,45.64778,11340
30017,30018,272.25,-27.0,1.0,4.26334,-3.49794,272.00282,-3.57636,30017
3236,3237,36.73469,57.0,1.0,135.69085,-3.48711,55.39525,39.78606,3236
3406,3407,348.97959,57.0,1.0,110.17062,-3.48619,24.00817,54.18644,3406
19972,19973,287.79944,2.0,1.0,36.9707,-3.47874,289.5683,24.23822,19972
18182,18183,290.42017,7.0,1.0,42.62218,-3.47758,293.27188,28.80461,18182
12447,12448,85.92145,23.0,1.0,184.83962,-3.46894,86.25169,-0.38616,12447
3213,3214,354.31579,58.0,1.0,113.21168,-3.46505,28.7434,53.03403,3213
25663,25664,279.54155,-14.0,1.0,18.96545,-3.45894,279.36954,9.12928,25663
6121,6122,320.31496,45.0,1.0,88.71396,-3.45625,346.26088,55.93583,6121
26537,26538,107.7907,-17.0,1.0,230.28331,-3.44879,112.11956,-39.08266,26537
7820,7821,73.78092,38.0,1.0,166.55674,-3.44646,76.81508,15.30108,7820
19255,19256,288.80223,4.0,1.0,39.21123,-3.44626,290.96904,26.08096,19255
3847,3848,47.77251,54.0,1.0,142.62718,-3.44398,61.2917,34.69154,3847
3435,3436,41.19403,56.0,1.0,138.35135,-3.44105,57.78525,37.89111,3435
5620,5621,323.26531,47.0,1.0,91.58232,-3.43701,351.32742,56.43978,5620
20502,20503,99.0,0.0,1.0,211.16995,-3.43435,99.8007,-23.13383,20502
2853,2854,23.35135,59.0,1.0,128.3231,-3.43175,48.17292,44.85148,2853
22300,22301,101.56425,-5.0,1.0,216.79775,-3.42733,103.06844,-27.91631,22300
6639,6640,317.56654,43.0,1.0,85.89724,-3.41843,341.41336,55.29086,6639
4017,4018,337.81991,54.0,1.0,103.17263,-3.40597,12.25455,56.15755,4017
17276,17277,94.30986,9.0,1.0,201.01205,-3.40252,94.40046,-14.37371,17276
11021,11022,303.21767,28.0,1.0,66.90967,-3.39983,314.56546,46.43442,11021
25495,25496,106.24642,-14.0,1.0,226.92898,-3.39934,109.70004,-36.33462,25495
2842,2843,1.94595,59.0,1.0,117.3262,-3.3958,34.74769,51.217,2842
11145,11146,83.25,27.0,1.0,180.15667,-3.38927,83.98154,3.70187,11145
9172,9173,308.05369,34.0,1.0,74.21275,-3.38838,323.61124,50.60211,9172
23374,23375,103.14607,-8.0,1.0,220.19016,-3.38542,105.19916,-30.74833,23374
3808,3809,340.7767,55.0,1.0,105.16274,-3.38224,15.73403,55.76372,3808
29876,29877,113.625,-27.0,1.0,241.66766,-3.37613,122.146,-47.83601,29876
26881,26882,108.42105,-18.0,1.0,231.44985,-3.37522,113.09681,-39.9733,26881
22839,22840,283.57542,-6.0,1.0,27.91134,-3.36651,284.1059,16.77682,22839
4231,4232,335.0,53.0,1.0,101.21703,-3.36563,8.78855,56.50667,4231
10199,10200,81.02894,30.0,1.0,176.57171,-3.36073,82.18898,6.80403,10199
6197,6198,66.97674,44.0,1.0,158.65172,-3.35306,72.34654,21.96302,6197
5138,5139,326.44068,49.0,1.0,94.50354,-3.34707,356.59158,56.79735,5138
3043,3044,32.21053,58.0,1.0,133.06241,-3.3412,53.07423,41.73975,3043
30334,30335,271.41956,-28.0,1.0,3.02958,-3.33725,271.25162,-4.56685,30334
25844,25845,106.85879,-15.0,1.0,228.09135,-3.3285,110.60967,-37.24059,25844
17116,17117,291.86441,10.0,1.0,45.94715,-3.32522,295.4772,31.52606,17116
18705,18706,96.53631,5.0,1.0,205.5888,-3.31958,96.86525,-18.2839,18705
27223,27224,109.05882,-19.0,1.0,232.61814,-3.30102,114.1005,-40.8575,27223
15362,15363,294.63977,15.0,1.0,51.6431,-3.2958,299.814,35.92432,15362
10705,10706,303.82166,29.0,1.0,68.03849,-3.2911,315.76927,47.21119,10705
3604,3605,343.8806,56.0,1.0,107.18622,-3.287,19.22564,55.32883,3604
8007,8008,311.66078,38.0,1.0,79.17021,-3.276,330.58616,53.04176,8007
14819,14820,90.52023,16.0,1.0,193.08323,-3.27545,90.51007,-7.4385,14819
24793,24794,105.34091,-12.0,1.0,224.74291,-3.27416,108.30098,-34.46967,24793
4450,4451,332.30769,52.0,1.0,99.29653,-3.26811,5.33851,56.80799,4450
28900,28901,111.95122,-24.0,1.0,238.305,-3.26714,119.0265,-45.2512,28900
6457,6458,68.44106,43.0,1.0,160.11019,-3.26345,73.29813,20.80407,6457
23906,23907,281.91549,-9.0,1.0,24.48564,-3.259,282.12308,13.93904,23906
4963,4964,59.49153,49.0,1.0,151.46717,-3.25657,67.87065,27.87987,4963
2854,2855,25.2973,59.0,1.0,129.31112,-3.25416,49.38445,44.34128,2854
3639,3640,45.43689,55.0,1.0,140.95092,-3.24698,60.13559,36.08839,3639
7263,7264,72.0,40.0,1.0,164.12891,-3.24483,75.63766,17.45503,7263
4730,4731,57.66234,50.0,1.0,149.91198,-3.24482,66.8256,29.13204,4730
7174,7175,314.83395,41.0,1.0,83.04806,-3.24074,336.61165,54.57294,7174
18539,18540,289.60894,6.0,1.0,41.35951,-3.23103,292.19102,27.94131,18539
15710,15711,293.98281,14.0,1.0,50.45807,-3.22661,298.80167,35.07263,15710
27563,27564,109.70414,-20.0,1.0,233.78815,-3.22661,115.13155,-41.73497,27563
21941,21942,101.28134,-4.0,1.0,215.7769,-3.22508,102.65187,-26.94531,21941
17632,17633,95.05618,8.0,1.0,202.24379,-3.22168,95.1985,-15.34833,17632
14474,14475,90.0,17.0,1.0,191.96551,-3.21624,90.00573,-6.4394,14474
2841,2842,0.0,59.0,1.0,116.3394,-3.21177,33.50871,51.85784,2841
4502,4503,55.75221,51.0,1.0,148.33639,-3.20856,65.76076,30.40557,4502
21222,21223,100.27855,-2.0,1.0,213.53675,-3.20828,101.35725,-25.03514,21222
25145,25146,105.94286,-13.0,1.0,225.90267,-3.20619,109.17124,-35.38413,25145
25314,25315,279.77143,-13.0,1.0,19.95911,-3.20213,279.66437,10.11187,25314
29228,29229,112.63804,-25.0,1.0,239.48382,-3.19377,120.209,-46.09252,29228
12118,12119,85.60976,24.0,1.0,183.83622,-3.18915,85.99533,0.62183,12118
23017,23018,102.85714,-7.0,1.0,219.16723,-3.18766,104.74924,-29.78343,23017
10392,10393,304.4373,30.0,1.0,69.16929,-3.17946,317.00978,47.97762,10392
30648,30649,270.57325,-29.0,1.0,1.79164,-3.17725,270.49801,-5.56163,30648
15514,15515,91.80516,14.0,1.0,195.43828,-3.16804,91.78131,-9.4283,15514
3212,3213,352.42105,58.0,1.0,112.25149,-3.16641,27.48231,53.69886,3212
19783,19784,98.27298,2.0,1.0,209.05558,-3.16491,98.87803,-21.18491,19783
14131,14132,89.47368,18.0,1.0,190.84652,-3.15557,89.50289,-5.43847,14131
27901,27902,110.35714,-21.0,1.0,234.95984,-3.15243,116.19091,-42.60539,27901
28055,28056,275.35714,-21.0,1.0,10.90197,-3.14858,274.99881,2.34625,28055
8105,8106,75.26132,37.0,1.0,168.07198,-3.14491,77.90868,14.17815,8105
4279,4280,53.75566,52.0,1.0,146.74008,-3.1448,64.67587,31.7021,4279
5868,5869,321.12,46.0,1.0,89.82045,-3.14305,348.10042,56.4566,5868
24964,24965,280.22727,-12.0,1.0,21.05373,-3.14283,280.18748,11.07813,24964
8686,8687,77.14286,35.0,1.0,170.589,-3.14149,79.26406,12.03934,8686
8875,8876,308.57143,35.0,1.0,75.27256,-3.13842,324.85687,51.3552,8875
19064,19065,97.27019,4.0,1.0,206.81574,-3.13352,97.69033,-19.24565,19064
5201,5202,61.5,48.0,1.0,153.12972,-3.1325,69.08289,26.61114,5201
4674,4675,329.73451,51.0,1.0,97.41125,-3.1197,1.90797,57.05899,4674
9281,9282,78.93688,33.0,1.0,173.08486,-3.11401,80.60263,9.92146,9281
3237,3238,38.57143,57.0,1.0,136.6202,-3.11315,56.57993,39.37725,3237
15166,15167,91.29683,15.0,1.0,194.32346,-3.11228,91.27211,-8.43372,15166
3405,3406,347.14286,57.0,1.0,109.24131,-3.11217,22.72928,54.85717,3405
11791,11792,85.03067,25.0,1.0,182.70695,-3.11004,85.50102,1.63843,11791
10827,10828,82.90221,28.0,1.0,179.1483,-3.1036,83.72078,4.71557,10827
5443,5444,63.18367,47.0,1.0,154.64603,-3.09723,70.09286,25.39872,5443
27719,27720,275.85799,-20.0,1.0,12.00694,-3.09622,275.50711,3.32723,27719
13790,13791,88.94118,19.0,1.0,189.72633,-3.09313,89.00155,-4.43568,13790
21765,21766,284.79109,-3.0,1.0,31.1397,-3.08524,285.69908,19.63668,21765
17470,17471,291.04225,9.0,1.0,44.68073,-3.08297,294.34554,30.67831,17470
24440,24441,105.04249,-11.0,1.0,223.71774,-3.07985,107.79936,-33.5144,24440
9890,9891,80.64935,31.0,1.0,175.55958,-3.06786,81.92428,7.82291,9890
21048,21049,285.79387,-1.0,1.0,33.37988,-3.06746,287.00218,21.51182,21048
10082,10083,305.06494,31.0,1.0,70.30201,-3.06456,318.28824,48.73319,10082
16215,16216,93.06818,12.0,1.0,197.78712,-3.05184,93.06746,-11.40683,16215
4061,4062,51.66667,53.0,1.0,145.12281,-3.05031,63.57076,33.02341,4061
2855,2856,27.24324,59.0,1.0,130.29316,-3.04698,50.59567,43.8435,2855
20330,20331,286.79666,1.0,1.0,35.62026,-3.04623,288.34053,23.37615,20330
5690,5691,64.8,46.0,1.0,156.14317,-3.04518,71.08395,24.20351,5690
28719,28720,274.07855,-23.0,1.0,8.57602,-3.04411,273.74816,0.38615,28719
27381,27382,276.35294,-19.0,1.0,13.11075,-3.04372,276.01678,4.30654,27381
17989,17990,95.79832,7.0,1.0,203.47366,-3.0392,96.00341,-16.31877,17989
6377,6378,318.13953,44.0,1.0,86.91305,-3.03878,342.96538,55.92682,6377
5376,5377,324.0,48.0,1.0,92.62522,-3.03433,353.12445,56.96249,5376
3044,3045,34.10526,58.0,1.0,134.0187,-3.03073,54.2753,41.29317,3044
13451,13452,88.40237,20.0,1.0,188.605,-3.02862,88.50172,-3.43101,13451
30196,30197,114.70032,-28.0,1.0,243.00717,-3.02821,123.90049,-48.57252,30196
19613,19614,287.79944,3.0,1.0,37.86025,-3.01912,289.71566,25.22924,19613
6722,6723,70.11236,42.0,1.0,161.68037,-3.01827,74.43651,19.63049,6722
7725,7726,312.25806,39.0,1.0,80.24384,-3.0128,332.0353,53.72852,7725
3436,3437,42.98507,56.0,1.0,139.25444,-3.00511,58.95975,37.51739,3436
8582,8583,309.27835,36.0,1.0,76.41965,-3.00001,326.35711,52.03837,8582
23551,23552,282.13483,-8.0,1.0,25.47673,-2.99876,282.43459,14.91682,23551
3025,3026,358.05405,59.0,1.0,115.35878,-2.99821,32.26454,52.50793,3025
15864,15865,92.57143,13.0,1.0,196.67548,-2.99801,92.55332,-10.41669,15864
16059,16060,293.14286,13.0,1.0,49.18618,-2.99402,297.59242,34.2493,16059
28388,28389,274.59459,-22.0,1.0,9.68416,-2.9919,274.25484,1.37134,28388
27041,27042,276.84211,-18.0,1.0,14.21337,-2.9908,276.52782,5.28421,27041
22659,22660,102.56983,-6.0,1.0,218.14502,-2.98863,104.30837,-28.81716,22659
6904,6905,315.50562,42.0,1.0,84.13378,-2.96199,338.22645,55.19783,6904
13114,13115,87.85714,21.0,1.0,187.4826,-2.96174,88.0034,-2.42444,13114
7540,7541,73.54839,39.0,1.0,165.66289,-2.95999,76.74811,16.3155,7540
13310,13311,297.85714,21.0,1.0,58.37902,-2.95799,305.35371,41.08208,13310
9775,9776,305.70492,32.0,1.0,71.43657,-2.94605,319.60588,49.47737,9775
29373,29374,272.76074,-25.0,1.0,6.24088,-2.93903,272.49711,-1.58468,29373
26699,26700,277.32558,-17.0,1.0,15.31472,-2.9372,277.04026,6.26026,26699
4903,4904,327.27273,50.0,1.0,95.56097,-2.92618,358.50139,57.25766,4903
16410,16411,292.5,12.0,1.0,48.00616,-2.92229,296.62666,33.38317,16410
3848,3849,49.47867,54.0,1.0,143.48449,-2.92153,62.4454,34.37143,3848
12643,12644,299.09366,23.0,1.0,60.68692,-2.91546,307.52818,42.72405,12643
22481,22482,283.57542,-5.0,1.0,28.80394,-2.91302,284.20827,17.77204,22481
13647,13648,297.15976,20.0,1.0,57.18437,-2.9014,304.19866,40.27002,13647
3807,3808,339.02913,55.0,1.0,104.28479,-2.89623,14.39924,56.43499,3807
29047,29048,273.29268,-24.0,1.0,7.35201,-2.88546,273.00215,-0.59509,29047
24086,24087,104.74576,-10.0,1.0,222.69305,-2.88497,107.30836,-32.55749,24086
24612,24613,280.45326,-11.0,1.0,22.04628,-2.88474,280.48729,12.05934,24612
26355,26356,277.80347,-16.0,1.0,16.41476,-2.88264,277.55411,7.23471,26355
4016,4017,336.11374,54.0,1.0,102.31632,-2.88193,10.89452,56.82244,4016
16568,16569,93.82436,11.0,1.0,199.02103,-2.87688,93.84951,-12.38841,16568
12975,12976,298.37838,22.0,1.0,59.48788,-2.86416,306.3149,41.92893,12975
11986,11987,300.3681,25.0,1.0,63.00343,-2.86363,309.82415,44.33196,11986
18347,18348,96.53631,6.0,1.0,204.70164,-2.85564,96.81527,-17.28502,18347
29554,29555,113.68421,-26.0,1.0,240.81647,-2.84658,121.87421,-46.85171,29554
5942,5943,66.61417,45.0,1.0,157.75058,-2.84591,72.25434,22.99244,5942
3603,3604,342.08955,56.0,1.0,106.28752,-2.8424,17.91426,56.00422,3603
13986,13987,296.47059,19.0,1.0,55.99188,-2.84171,303.07127,39.4495,13986
3211,3212,350.52632,58.0,1.0,111.30066,-2.84013,26.2127,54.37137,3211
17825,17826,290.22472,8.0,1.0,43.41652,-2.83845,293.2341,29.8227,17825
8394,8395,76.70103,36.0,1.0,169.57106,-2.83167,78.99161,13.06829,8394
11467,11468,84.70588,26.0,1.0,181.70245,-2.82789,85.24348,2.64826,11467
12313,12314,299.63415,24.0,1.0,61.80026,-2.8193,308.54904,43.55526,12313
10512,10513,82.54777,29.0,1.0,178.13966,-2.81659,83.45919,5.73008,10512
8982,8983,78.52349,34.0,1.0,172.06963,-2.81255,80.3336,10.94562,8982
2856,2857,29.18919,59.0,1.0,131.26832,-2.81046,51.80678,43.35836,2856
18896,18897,288.60335,5.0,1.0,40.00744,-2.8081,290.90904,27.09903,18896
4230,4231,333.33333,53.0,1.0,100.38293,-2.80679,7.40197,57.16303,4230
28237,28238,111.35135,-22.0,1.0,236.27915,-2.80635,117.69685,-43.40721,28237
20689,20690,286.0,0.0,1.0,34.36509,-2.79474,287.34965,22.4807,20689
29696,29697,271.95046,-26.0,1.0,5.01067,-2.78029,271.74903,-2.57256,29696
14327,14328,295.78947,18.0,1.0,54.80162,-2.77939,301.97081,38.62086,14327
9584,9585,80.2623,32.0,1.0,174.54734,-2.773,81.65886,8.84271,9584
21582,21583,101.28134,-3.0,1.0,214.8848,-2.77083,102.55473,-25.9491,21582
11661,11662,300.92879,26.0,1.0,64.12108,-2.76374,310.90883,45.14597,11661
3024,3025,356.10811,59.0,1.0,114.38521,-2.75537,31.01453,53.16702,3024
3640,3641,47.18447,55.0,1.0,141.82518,-2.75458,61.29991,35.74826,3640
6991,6992,71.73432,41.0,1.0,163.23335,-2.75393,75.56393,18.47286,6991
20863,20864,100.27855,-1.0,1.0,212.64525,-2.75289,101.27143,-24.03819,20863
5619,5620,321.79592,47.0,1.0,90.85215,-2.74953,349.83325,57.01637,5619
7447,7448,312.87273,40.0,1.0,81.3195,-2.74672,333.53475,54.3999,7447
8292,8293,309.82578,37.0,1.0,77.48341,-2.74524,327.69374,52.76554,8292
6120,6121,318.89764,45.0,1.0,88.01143,-2.74051,344.74943,56.48164,6120
23195,23196,282.35294,-7.0,1.0,26.46718,-2.73755,282.74877,15.89407,23195
28570,28571,112.02417,-23.0,1.0,237.45569,-2.73317,118.82311,-44.25945,28570
20143,20144,99.27577,1.0,1.0,210.40549,-2.73197,100.02456,-22.11729,20143
14670,14671,295.11628,17.0,1.0,53.61365,-2.71491,300.89655,37.7844,14670
3238,3239,40.40816,57.0,1.0,137.53845,-2.71359,57.76494,38.98105,3238
3404,3405,345.30612,57.0,1.0,108.32308,-2.71254,21.43895,55.53423,3404
19424,19425,98.27298,3.0,1.0,208.16611,-2.70566,98.81259,-20.18679,19424
9471,9472,306.1794,33.0,1.0,72.48677,-2.70133,320.74666,50.26458,9471
16922,16923,94.57627,10.0,1.0,200.25331,-2.69897,94.63826,-13.36586,16922
5137,5138,324.91525,49.0,1.0,93.74517,-2.69286,355.12402,57.40254,5137
3045,3046,36.0,58.0,1.0,134.96533,-2.69279,55.47658,40.85941,3045
23731,23732,104.4507,-9.0,1.0,221.66887,-2.68943,106.82761,-31.59899,23731
16762,16763,291.67139,11.0,1.0,46.73873,-2.68401,295.46194,32.54385,16762
12780,12781,87.56757,22.0,1.0,186.48385,-2.68337,87.74974,-1.42027,12780
30513,30514,115.79618,-29.0,1.0,244.35343,-2.68249,125.70996,-49.28969,30513
6638,6639,316.19772,43.0,1.0,85.22149,-2.67896,339.89438,55.80457,6638
4449,4450,330.67873,52.0,1.0,98.48495,-2.67747,3.92465,57.45384,4449
11339,11340,301.5,27.0,1.0,65.24082,-2.6623,312.02676,45.95129,11339
7821,7822,75.053,38.0,1.0,167.1803,-2.6609,77.8477,15.19004,7821
15015,15016,294.45087,16.0,1.0,52.42801,-2.64872,299.84776,36.94042,15015
22123,22124,283.7883,-4.0,1.0,29.79242,-2.64799,284.53494,18.74611,22123
26192,26193,108.20809,-16.0,1.0,229.57894,-2.63306,112.42387,-38.03218,26192
21406,21407,284.79109,-2.0,1.0,32.0314,-2.63044,285.81424,20.63082,21406
24259,24260,280.67797,-10.0,1.0,23.03834,-2.62608,280.78954,13.04004,24259
26009,26010,278.04035,-15.0,1.0,17.40871,-2.62487,277.83993,8.22055,26009
6198,6199,68.37209,44.0,1.0,159.34039,-2.62198,73.41379,21.79955,6198
30016,30017,271.125,-27.0,1.0,3.77622,-2.6215,270.99858,-3.56459,30016
12448,12449,87.00906,23.0,1.0,185.35958,-2.61296,87.25259,-0.41071,12448
4731,4732,59.22078,50.0,1.0,150.6856,-2.60722,67.93819,28.89352,4731
4964,4965,61.01695,49.0,1.0,152.22357,-2.60016,68.9732,27.65661,4964
18181,18182,289.41176,7.0,1.0,42.15453,-2.59231,292.14255,28.95944,18181
4503,4504,57.34513,51.0,1.0,149.12744,-2.59152,66.88355,30.151,4503
19971,19972,286.79666,2.0,1.0,36.5103,-2.58825,288.47795,24.36823,19971
9171,9172,306.84564,34.0,1.0,73.62514,-2.57678,322.14725,50.98524,9171
25662,25663,278.51003,-14.0,1.0,18.50694,-2.56893,278.35776,9.19253,25662
26538,26539,108.83721,-17.0,1.0,230.74574,-2.56092,113.39058,-38.92162,26538
11020,11021,302.08202,28.0,1.0,66.36263,-2.559,313.17918,46.74746,11020
19254,19255,287.79944,4.0,1.0,38.74904,-2.55876,289.86543,26.22011,19254
4280,4281,55.38462,52.0,1.0,147.54867,-2.55021,65.80902,31.43063,4280
3437,3438,44.77612,56.0,1.0,140.14516,-2.54522,60.13469,37.15618,3437
2857,2858,31.13514,59.0,1.0,132.23575,-2.5449,53.01794,42.88608,2857
11146,11147,84.375,27.0,1.0,180.69756,-2.54487,84.98509,3.65879,11146
20503,20504,100.0,0.0,1.0,211.62719,-2.54468,100.88508,-23.06241,20503
22301,22302,102.56983,-5.0,1.0,217.25297,-2.53465,104.1966,-27.82202,22301
10200,10201,82.1865,30.0,1.0,177.13076,-2.52812,83.1968,6.74541,10200
6458,6459,69.80989,43.0,1.0,160.7832,-2.52157,74.35617,20.65232,6458
17277,17278,95.32394,9.0,1.0,201.48392,-2.5187,95.43374,-14.33915,17277
25496,25497,107.27794,-14.0,1.0,227.3877,-2.50945,110.92871,-36.19215,25496
29877,29878,114.75,-27.0,1.0,242.15576,-2.50025,123.59139,-47.5931,29877
4673,4674,328.14159,51.0,1.0,96.62228,-2.50009,0.46672,57.69248,4673
23375,23376,104.1573,-8.0,1.0,220.64525,-2.49311,106.35672,-30.63894,23375
8006,8007,310.38869,38.0,1.0,78.54919,-2.48851,329.07823,53.4792,8006
26882,26883,109.47368,-18.0,1.0,231.91442,-2.48811,114.38291,-39.8047,26882
3210,3211,348.63158,58.0,1.0,110.35992,-2.48658,24.93366,55.05128,3210
3023,3024,354.16216,59.0,1.0,113.41957,-2.48355,29.75798,53.83482,3023
4062,4063,53.33333,53.0,1.0,145.94897,-2.48016,64.71439,32.73415,4062
7173,7174,313.50554,41.0,1.0,82.39721,-2.47747,335.08604,55.05507,7173
22838,22839,282.56983,-6.0,1.0,27.45697,-2.47531,283.06572,16.87079,22838
7264,7265,73.30909,40.0,1.0,164.76942,-2.47255,76.68042,17.33038,7264
30333,30334,270.28391,-28.0,1.0,2.53745,-2.46326,270.24575,-4.56089,30333
5202,5203,63.0,48.0,1.0,153.8698,-2.45357,70.18023,26.40337,5202
10704,10705,302.67516,29.0,1.0,67.48646,-2.45353,314.36735,47.53402,10704
17115,17116,290.84746,10.0,1.0,45.47335,-2.44256,294.31831,31.69635,17115
25845,25846,107.89625,-15.0,1.0,228.55209,-2.43828,111.85312,-37.09113,25845
5867,5868,319.68,46.0,1.0,89.11171,-2.43632,346.58769,57.01546,5867
18706,18707,97.5419,5.0,1.0,206.0529,-2.43151,97.91873,-18.23244,18706
15361,15362,293.60231,15.0,1.0,51.15542,-2.42002,298.60015,36.12568,15361
27224,27225,110.11765,-19.0,1.0,233.08493,-2.41506,115.40172,-40.68114,27224
14820,14821,91.56069,16.0,1.0,193.57309,-2.40313,91.5187,-7.4312,14820
5444,5445,64.65306,47.0,1.0,155.3693,-2.40275,71.1804,25.20483,5444
3806,3807,337.28155,55.0,1.0,103.42004,-2.3878,13.04731,57.11032,3806
28901,28902,113.04878,-24.0,1.0,238.78463,-2.38631,120.41449,-45.03472,28901
24794,24795,106.36364,-12.0,1.0,225.19988,-2.38397,109.50286,-34.33786,24794
3849,3850,51.18483,54.0,1.0,144.32814,-2.37797,63.5996,34.06344,3849
3602,3603,340.29851,56.0,1.0,105.40137,-2.374,16.58802,56.68464,3602
23905,23906,280.90141,-9.0,1.0,24.02991,-2.3668,281.0943,14.02023,23905
5375,5376,322.5,48.0,1.0,91.88719,-2.35323,351.62485,57.55386,5375
15709,15710,292.95129,14.0,1.0,49.97442,-2.35003,297.60043,35.26651,15709
8106,8107,76.51568,37.0,1.0,168.68154,-2.34941,78.93655,14.07794,8106
10391,10392,303.27974,30.0,1.0,68.61226,-2.34556,315.59256,48.31048,10391
