,ID,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,Entry
8684,8685,74.69388,35.0,1.0,169.3699,-4.73682,77.22214,12.23796,8684
7176,7177,317.49077,41.0,1.0,84.38744,-4.73575,339.59378,53.59247,7176
9279,9280,76.54485,33.0,1.0,171.89927,-4.73433,78.57299,10.09355,9279
8877,8878,311.02041,35.0,1.0,76.49159,-4.73381,327.77009,50.54472,8877
3232,3233,29.38776,57.0,1.0,131.87602,-4.71923,50.65757,41.54377,3232
3036,3037,18.94737,58.0,1.0,126.16462,-4.71882,44.65923,45.20786,3036
3410,3411,356.32653,57.0,1.0,113.98536,-4.71859,29.02797,51.57223,3410
26701,26702,279.4186,-17.0,1.0,16.23242,-4.71705,279.05018,6.14369,26701
6455,6456,65.70342,43.0,1.0,158.7251,-4.71234,71.18364,21.13639,6455
8103,8104,72.75261,37.0,1.0,166.81858,-4.7103,75.85439,14.40478,8103
9888,9889,78.31169,31.0,1.0,174.40656,-4.7085,79.90674,7.96984,9888
10084,10085,307.4026,31.0,1.0,71.45495,-4.70525,321.11014,48.02411,10084
29375,29376,274.96933,-25.0,1.0,7.19006,-4.70245,274.49879,-1.63838,29375
3811,3812,346.01942,55.0,1.0,107.87107,-4.70139,19.64825,53.77724,3811
22483,22484,285.58659,-5.0,1.0,29.71345,-4.69924,286.29935,17.56155,22483
13112,13113,85.71429,21.0,1.0,186.44966,-4.67636,86.00157,-2.37979,13112
16412,16413,294.54545,12.0,1.0,48.97135,-4.67602,298.97427,33.00374,16412
13312,13313,300.0,21.0,1.0,59.41191,-4.67263,307.91089,40.57355,13312
24084,24085,102.71186,-10.0,1.0,221.78488,-4.67127,104.94392,-32.78223,24084
24614,24615,282.49292,-11.0,1.0,22.95471,-4.67,282.52735,11.89745,24614
26357,26358,279.88439,-16.0,1.0,17.32992,-4.66236,279.56636,7.11145,26357
3029,3030,5.68421,58.0,1.0,119.12417,-4.6594,36.17227,49.22114,3029
29049,29050,275.4878,-24.0,1.0,8.29842,-4.65452,275.00663,-0.65615,29049
4058,4059,46.66667,53.0,1.0,142.56227,-4.63914,60.14282,33.96175,4058
16566,16567,91.7847,11.0,1.0,198.06128,-4.63518,91.79982,-12.42835,16566
18345,18346,94.52514,6.0,1.0,203.76681,-4.62496,94.72172,-17.36541,18345
13649,13650,299.28994,20.0,1.0,58.20801,-4.6229,306.73277,39.77844,13649
12645,12646,301.26888,23.0,1.0,61.73929,-4.62031,310.14065,42.18154,12645
3037,3038,20.84211,58.0,1.0,127.16593,-4.60901,45.86357,44.67725,3037
